snr_db,drop_index,selected_ssb,subcarrier,raw_power,normalized_power
-2.0,0,3,273,0.9541145729487125,1.0000000000000002
-2.0,0,3,274,0.9534597854715726,0.9999999999999999
-2.0,0,3,275,0.952810535814545,1.0
-2.0,0,3,276,0.9521669012318472,0.9999999999999993
-2.0,0,3,277,0.9515289583095575,0.9999999999999992
-2.0,0,3,278,0.9508967829565035,0.9999999999999999
-2.0,0,3,279,0.950270450395231,0.9999999999999998
-2.0,0,3,280,0.949650035153051,1.0000000000000002
-2.0,0,3,281,0.9490356110531732,0.9999999999999999
-2.0,0,3,282,0.948427251205921,0.9999999999999997
-2.0,0,3,283,0.9478250280000325,0.9999999999999993
-2.0,0,3,284,0.9472290130940462,1.0
-2.0,0,3,285,0.946639277407776,0.9999999999999998
-2.0,0,3,286,0.946055891113872,0.9999999999999991
-2.0,0,3,287,0.945478923629467,1.0000000000000004
-2.0,0,3,288,0.9449084436079236,1.0000000000000002
-2.0,0,3,289,0.9443445189306581,1.0000000000000007
-2.0,0,3,290,0.9437872166990702,0.9999999999999992
-2.0,0,3,291,0.9432366032265482,1.0000000000000007
-2.0,0,3,292,0.9426927440305926,0.9999999999999997
-2.0,0,3,293,0.9421557038250076,0.9999999999999993
-2.0,0,3,294,0.9416255465122066,0.9999999999999998
-2.0,0,3,295,0.9411023351756087,1.0
-2.0,0,3,296,0.9405861320721308,0.9999999999999998
-2.0,0,3,297,0.9400769986247798,1.0000000000000002
-2.0,0,3,298,0.9395749954153442,1.0
-2.0,0,3,299,0.9390801821771867,1.0
-2.0,0,3,300,0.9385926177881336,1.0
-2.0,0,3,301,0.938112360263471,1.0000000000000004
-2.0,0,3,302,0.9376394667490425,1.0000000000000002
-2.0,0,3,303,0.9371739935144469,0.9999999999999997
-2.0,0,3,304,0.9367159959463431,1.0000000000000009
-2.0,0,3,305,0.9362655285418638,1.0000000000000002
-2.0,0,3,306,0.9358226449021249,1.0
-2.0,0,3,307,0.9353873977258482,1.0000000000000002
-2.0,0,3,308,0.9349598388030979,1.0
-2.0,0,3,309,0.9345400190091082,0.9999999999999996
-2.0,0,3,310,0.9341279882982375,1.0000000000000002
-2.0,0,3,311,0.9337237956980193,1.0
-2.0,0,3,312,0.9333274893033314,1.0000000000000002
-2.0,0,3,313,0.932939116270671,0.9999999999999998
-2.0,0,3,314,0.9325587228125453,0.9999999999999999
-2.0,0,3,315,0.9321863541919718,1.0000000000000004
-2.0,0,3,316,0.9318220547170936,1.0000000000000002
-2.0,0,3,317,0.9314658677359039,0.9999999999999991
-2.0,0,3,318,0.9311178356310917,0.9999999999999998
-2.0,0,3,319,0.9307779998149965,1.0000000000000002
-2.0,0,3,320,0.9304464007246829,0.9999999999999997
-2.0,0,3,321,0.9301230778171261,1.0000000000000004
-2.0,0,3,322,0.9298080695645194,1.0000000000000002
-2.0,0,3,323,0.9295014134496945,0.9999999999999997
-2.0,0,3,324,0.9292031459616615,0.9999999999999997
-2.0,0,3,325,0.9289133025912691,0.9999999999999997
-2.0,0,3,326,0.9286319178269805,0.9999999999999998
-2.0,0,3,327,0.9283590251507678,0.9999999999999997
-2.0,0,3,328,0.928094657034132,0.9999999999999998
-2.0,0,3,329,0.9278388449342332,1.0000000000000002
-2.0,0,3,330,0.9275916192901545,0.9999999999999992
-2.0,0,3,331,0.927353009519274,0.9999999999999996
-2.0,0,3,332,0.9271230440137695,0.9999999999999998
-2.0,0,3,333,0.9269017501372364,0.9999999999999999
-2.0,0,3,334,0.9266891542214326,0.9999999999999996
-2.0,0,3,335,0.9264852815631455,1.0
-2.0,0,3,336,0.9262901564211833,1.0000000000000002
-2.0,0,3,337,0.926103802013487,1.0000000000000002
-2.0,0,3,338,0.9259262405143663,1.0000000000000004
-2.0,0,3,339,0.925757493051865,1.0000000000000002
-2.0,0,3,340,0.9255975797052428,1.0000000000000002
-2.0,0,3,341,0.9254465195025894,1.0000000000000002
-2.0,0,3,342,0.9253043304185581,1.0000000000000002
-2.0,0,3,343,0.9251710293722281,0.9999999999999999
-2.0,0,3,344,0.9250466322250906,0.9999999999999999
-2.0,0,3,345,0.9249311537791615,1.0000000000000009
-2.0,0,3,346,0.9248246077752227,1.0000000000000002
-2.0,0,3,347,0.9247270068911817,1.0000000000000007
-2.0,0,3,348,0.9246383627405685,1.0000000000000004
-2.0,0,3,349,0.9245586858711499,1.000000000000001
-2.0,0,3,350,0.9244879857636772,0.9999999999999998
-2.0,0,3,351,0.9244262708307561,1.0
-2.0,0,3,352,0.9243735484158456,1.0000000000000002
-2.0,0,3,353,0.9243298247923873,0.9999999999999998
-2.0,0,3,354,0.9242951051630534,0.9999999999999999
-2.0,0,3,355,0.9242693936591337,0.9999999999999994
-2.0,0,3,356,0.9242526933400398,0.9999999999999997
-2.0,0,3,357,0.9242450061929425,1.0000000000000004
-2.0,0,3,358,0.9242463331325356,1.0000000000000004
-2.0,0,3,359,0.9242566740009269,0.9999999999999999
-2.0,0,3,360,0.9242760275676564,0.999999999999999
-2.0,0,3,361,0.9243043915298422,1.0000000000000002
-2.0,0,3,362,0.9243417625124575,0.9999999999999997
-2.0,0,3,363,0.9243881360687288,1.0000000000000007
-2.0,0,3,364,0.9244435066806667,0.9999999999999996
-2.0,0,3,365,0.9245078677597223,0.9999999999999997
-2.0,0,3,366,0.9245812116475703,0.9999999999999997
-2.0,0,3,367,0.9246635296170215,1.0000000000000004
-2.0,0,3,368,0.9247548118730616,0.9999999999999997
-2.0,0,3,369,0.9248550475540135,1.0000000000000002
-2.0,0,3,370,0.9249642247328353,0.9999999999999999
-2.0,0,3,371,0.9250823304185332,0.9999999999999999
-2.0,0,3,372,0.925209350557712,1.0000000000000009
-2.0,0,3,373,0.9253452700362463,0.9999999999999999
-2.0,0,3,374,0.9254900726810763,1.0
-2.0,0,3,375,0.9256437412621354,0.9999999999999994
-2.0,0,3,376,0.9258062574943995,0.9999999999999998
-2.0,0,3,377,0.9259776020400624,0.9999999999999998
-2.0,0,3,378,0.9261577545108363,0.9999999999999998
-2.0,0,3,379,0.9263466934703786,0.9999999999999997
-2.0,0,3,380,0.9265443964368425,1.0000000000000002
-2.0,0,3,381,0.9267508398855528,1.0000000000000002
-2.0,0,3,382,0.9269659992518037,0.9999999999999994
-2.0,0,3,383,0.9271898489337808,1.0
-2.0,0,3,384,0.9274223622956119,1.0
-2.0,0,3,385,0.9276635116705314,0.9999999999999998
-2.0,0,3,386,0.9279132683641761,1.0
-2.0,0,3,387,0.9281716026579965,0.9999999999999998
-2.0,0,3,388,0.9284384838127943,1.0000000000000004
-2.0,0,3,389,0.9287138800723829,0.9999999999999993
-2.0,0,3,390,0.9289977586673598,0.9999999999999994
-2.0,0,3,391,0.9292900858190113,0.9999999999999996
-2.0,0,3,392,0.9295908267433304,1.0
-2.0,0,3,393,0.9298999456551539,0.9999999999999997
