Config,Family,Scheme,PRG_Size_RB,Precoding_Mode,CE_Mode,Precoding_Basis,DMRS_Pattern,N_Coarse_SSB,N_Fine_Beams,Channel_Model,CDL_Type,SNR(dB),BLER
"PRG: precoding cyclic dual-pol, centered spatial beam, PRG=24RB",precoding_based,precoding_cyclic,24,cyclic,fullband,polarization,legacy,8,16,CDL,CDLC,-20.0,0.9259259259259259
"PRG: precoding cyclic dual-pol, centered spatial beam, PRG=24RB",precoding_based,precoding_cyclic,24,cyclic,fullband,polarization,legacy,8,16,CDL,CDLC,-19.0,0.6410256410256411
"PRG: precoding cyclic dual-pol, centered spatial beam, PRG=24RB",precoding_based,precoding_cyclic,24,cyclic,fullband,polarization,legacy,8,16,CDL,CDLC,-18.0,0.6756756756756757
"PRG: precoding cyclic dual-pol, centered spatial beam, PRG=24RB",precoding_based,precoding_cyclic,24,cyclic,fullband,polarization,legacy,8,16,CDL,CDLC,-17.0,0.5555555555555556
"PRG: precoding cyclic dual-pol, centered spatial beam, PRG=24RB",precoding_based,precoding_cyclic,24,cyclic,fullband,polarization,legacy,8,16,CDL,CDLC,-16.0,0.4
"PRG: precoding cyclic dual-pol, centered spatial beam, PRG=24RB",precoding_based,precoding_cyclic,24,cyclic,fullband,polarization,legacy,8,16,CDL,CDLC,-15.0,0.24
"PRG: precoding cyclic dual-pol, centered spatial beam, PRG=24RB",precoding_based,precoding_cyclic,24,cyclic,fullband,polarization,legacy,8,16,CDL,CDLC,-14.0,0.15
"PRG: precoding cyclic dual-pol, centered spatial beam, PRG=24RB",precoding_based,precoding_cyclic,24,cyclic,fullband,polarization,legacy,8,16,CDL,CDLC,-13.0,0.07
"PRG: precoding cyclic dual-pol, centered spatial beam, PRG=24RB",precoding_based,precoding_cyclic,24,cyclic,fullband,polarization,legacy,8,16,CDL,CDLC,-12.0,0.07
"PRG: precoding cyclic dual-pol, centered spatial beam, PRG=24RB",precoding_based,precoding_cyclic,24,cyclic,fullband,polarization,legacy,8,16,CDL,CDLC,-11.0,0.01
Comb-DMRS aligned: 16-dir array fine pair around SSB qh_c,array_based,array_comb_re_dmrs,48,traditional,fullband,polarization,comb2_re,8,16,CDL,CDLC,-25.0,1.0
Comb-DMRS aligned: 16-dir array fine pair around SSB qh_c,array_based,array_comb_re_dmrs,48,traditional,fullband,polarization,comb2_re,8,16,CDL,CDLC,-24.0,1.0
Comb-DMRS aligned: 16-dir array fine pair around SSB qh_c,array_based,array_comb_re_dmrs,48,traditional,fullband,polarization,comb2_re,8,16,CDL,CDLC,-23.0,0.9615384615384616
Comb-DMRS aligned: 16-dir array fine pair around SSB qh_c,array_based,array_comb_re_dmrs,48,traditional,fullband,polarization,comb2_re,8,16,CDL,CDLC,-22.0,0.9615384615384616
Comb-DMRS aligned: 16-dir array fine pair around SSB qh_c,array_based,array_comb_re_dmrs,48,traditional,fullband,polarization,comb2_re,8,16,CDL,CDLC,-21.0,0.9433962264150944
Comb-DMRS aligned: 16-dir array fine pair around SSB qh_c,array_based,array_comb_re_dmrs,48,traditional,fullband,polarization,comb2_re,8,16,CDL,CDLC,-20.0,0.78125
