snr_db,curve_id,curve_type,scheme,covariance,block_errors,blocks,bler,wilson_low,wilson_high,source_runs
-2.0,B-SSB,estimated_csi,baseline,ssb_pdp,1,500,0.002,0.00035313639455927543,0.011240706705146753,run-002/wide_2
-2.0,BC-SSB,estimated_csi,beam_cycling,ssb_pdp,1,500,0.002,0.00035313639455927543,0.011240706705146753,run-002/wide_2
-2.0,CDD-SSB,estimated_csi,beam_cdd,cdd_ssb_pdp,1,500,0.002,0.00035313639455927543,0.011240706705146753,run-002/wide_2
-2.0,P2-SSB,estimated_csi,pol_cycling_prg2,ssb_pdp,1,500,0.002,0.00035313639455927543,0.011240706705146753,run-002/wide_2
-2.0,P6-SSB,estimated_csi,pol_cycling_prg6,ssb_pdp,1,500,0.002,0.00035313639455927543,0.011240706705146753,run-002/wide_2
0.0,B-SSB,estimated_csi,baseline,ssb_pdp,1,500,0.002,0.00035313639455927543,0.011240706705146753,run-002/wide_2
0.0,BC-SSB,estimated_csi,beam_cycling,ssb_pdp,1,500,0.002,0.00035313639455927543,0.011240706705146753,run-002/wide_2
0.0,CDD-SSB,estimated_csi,beam_cdd,cdd_ssb_pdp,1,500,0.002,0.00035313639455927543,0.011240706705146753,run-002/wide_2
0.0,P2-SSB,estimated_csi,pol_cycling_prg2,ssb_pdp,1,500,0.002,0.00035313639455927543,0.011240706705146753,run-002/wide_2
0.0,P6-SSB,estimated_csi,pol_cycling_prg6,ssb_pdp,1,500,0.002,0.00035313639455927543,0.011240706705146753,run-002/wide_2
2.0,B-SSB,estimated_csi,baseline,ssb_pdp,1,500,0.002,0.00035313639455927543,0.011240706705146753,run-002/wide_2
2.0,BC-SSB,estimated_csi,beam_cycling,ssb_pdp,1,500,0.002,0.00035313639455927543,0.011240706705146753,run-002/wide_2
2.0,CDD-SSB,estimated_csi,beam_cdd,cdd_ssb_pdp,1,500,0.002,0.00035313639455927543,0.011240706705146753,run-002/wide_2
2.0,P2-SSB,estimated_csi,pol_cycling_prg2,ssb_pdp,1,500,0.002,0.00035313639455927543,0.011240706705146753,run-002/wide_2
2.0,P6-SSB,estimated_csi,pol_cycling_prg6,ssb_pdp,1,500,0.002,0.00035313639455927543,0.011240706705146753,run-002/wide_2
