snr_db,curve_a,curve_b,blocks,n00,n01,n10,n11,source_runs
-6.0,B-SSB,P6-SSB,500,496,0,0,4,run-002/wide_2
-6.0,BC-SSB,CDD-SSB,500,496,0,3,1,run-002/wide_2
-6.0,P2-SSB,BC-SSB,500,495,1,1,3,run-002/wide_2
-6.0,P2-SSB,CDD-SSB,500,496,0,3,1,run-002/wide_2
-6.0,P2-SSB,P6-SSB,500,496,0,0,4,run-002/wide_2
-6.0,P6-SSB,BC-SSB,500,495,1,1,3,run-002/wide_2
-6.0,P6-SSB,CDD-SSB,500,496,0,3,1,run-002/wide_2
-5.0,B-SSB,BC-SSB,500,497,0,2,1,run-002/wide_2
-5.0,B-SSB,CDD-SSB,500,497,0,2,1,run-002/wide_2
-5.0,B-SSB,P2-SSB,500,497,0,0,3,run-002/wide_2
-5.0,B-SSB,P6-SSB,500,497,0,0,3,run-002/wide_2
-5.0,BC-SSB,CDD-SSB,500,499,0,0,1,run-002/wide_2
-5.0,P2-SSB,BC-SSB,500,497,0,2,1,run-002/wide_2
-5.0,P2-SSB,CDD-SSB,500,497,0,2,1,run-002/wide_2
-5.0,P2-SSB,P6-SSB,500,497,0,0,3,run-002/wide_2
-5.0,P6-SSB,BC-SSB,500,497,0,2,1,run-002/wide_2
-5.0,P6-SSB,CDD-SSB,500,497,0,2,1,run-002/wide_2
-4.0,B-SSB,BC-SSB,500,497,0,2,1,run-002/wide_2
-4.0,B-SSB,CDD-SSB,500,497,0,2,1,run-002/wide_2
-4.0,B-SSB,P2-SSB,500,497,0,0,3,run-002/wide_2
-4.0,B-SSB,P6-SSB,500,497,0,0,3,run-002/wide_2
-4.0,BC-SSB,CDD-SSB,500,499,0,0,1,run-002/wide_2
-4.0,P2-SSB,BC-SSB,500,497,0,2,1,run-002/wide_2
-4.0,P2-SSB,CDD-SSB,500,497,0,2,1,run-002/wide_2
-4.0,P2-SSB,P6-SSB,500,497,0,0,3,run-002/wide_2
-4.0,P6-SSB,BC-SSB,500,497,0,2,1,run-002/wide_2
-4.0,P6-SSB,CDD-SSB,500,497,0,2,1,run-002/wide_2
-2.0,B-SSB,BC-SSB,500,499,0,0,1,run-002/wide_2
-2.0,B-SSB,CDD-SSB,500,499,0,0,1,run-002/wide_2
-2.0,B-SSB,P2-SSB,500,499,0,0,1,run-002/wide_2
-2.0,B-SSB,P6-SSB,500,499,0,0,1,run-002/wide_2
-2.0,BC-SSB,CDD-SSB,500,499,0,0,1,run-002/wide_2
-2.0,P2-SSB,BC-SSB,500,499,0,0,1,run-002/wide_2
-2.0,P2-SSB,CDD-SSB,500,499,0,0,1,run-002/wide_2
-2.0,P2-SSB,P6-SSB,500,499,0,0,1,run-002/wide_2
-2.0,P6-SSB,BC-SSB,500,499,0,0,1,run-002/wide_2
-2.0,P6-SSB,CDD-SSB,500,499,0,0,1,run-002/wide_2
0.0,B-SSB,BC-SSB,500,499,0,0,1,run-002/wide_2
0.0,B-SSB,CDD-SSB,500,499,0,0,1,run-002/wide_2
0.0,B-SSB,P2-SSB,500,499,0,0,1,run-002/wide_2
0.0,B-SSB,P6-SSB,500,499,0,0,1,run-002/wide_2
0.0,BC-SSB,CDD-SSB,500,499,0,0,1,run-002/wide_2
0.0,P2-SSB,BC-SSB,500,499,0,0,1,run-002/wide_2
0.0,P2-SSB,CDD-SSB,500,499,0,0,1,run-002/wide_2
0.0,P2-SSB,P6-SSB,500,499,0,0,1,run-002/wide_2
0.0,P6-SSB,BC-SSB,500,499,0,0,1,run-002/wide_2
0.0,P6-SSB,CDD-SSB,500,499,0,0,1,run-002/wide_2
2.0,B-SSB,BC-SSB,500,499,0,0,1,run-002/wide_2
2.0,B-SSB,CDD-SSB,500,499,0,0,1,run-002/wide_2
2.0,B-SSB,P2-SSB,500,499,0,0,1,run-002/wide_2
2.0,B-SSB,P6-SSB,500,499,0,0,1,run-002/wide_2
2.0,BC-SSB,CDD-SSB,500,499,0,0,1,run-002/wide_2
2.0,P2-SSB,BC-SSB,500,499,0,0,1,run-002/wide_2
2.0,P2-SSB,CDD-SSB,500,499,0,0,1,run-002/wide_2
2.0,P2-SSB,P6-SSB,500,499,0,0,1,run-002/wide_2
2.0,P6-SSB,BC-SSB,500,499,0,0,1,run-002/wide_2
2.0,P6-SSB,CDD-SSB,500,499,0,0,1,run-002/wide_2
