snr_db,curve_id,block_errors,blocks,raw_bler,wilson_low,wilson_high,monotone_bler,source_runs
-17.5,BC-SSB,132,1000,0.132,0.1124216361480769,0.15439485809729173,0.132,outputs/plan-004/run-001/threshold-half-grid
-17.0,BC-SSB,115,1000,0.115,0.09668343178743777,0.1362631722464397,0.115,outputs/plan-003/run-004/threshold+outputs/plan-004/run-001/threshold-integer-fill
-16.5,BC-SSB,107,1000,0.107,0.08932287430802002,0.12768495786162629,0.107,outputs/plan-004/run-001/threshold-half-grid
-16.0,BC-SSB,94,1000,0.094,0.07743417357376373,0.11367315431650704,0.094,outputs/plan-003/run-004/threshold+outputs/plan-004/run-001/threshold-integer-fill
-15.5,BC-SSB,83,1000,0.083,0.0674550214428993,0.10173649513405367,0.083,outputs/plan-004/run-001/threshold-half-grid
-15.0,BC-SSB,78,1000,0.078,0.06294716759073617,0.09628261657107236,0.078,outputs/plan-003/run-004/threshold+outputs/plan-004/run-001/threshold-integer-fill
-14.0,BC-SSB,106,1500,0.07066666666666667,0.058764922834676686,0.08476181501038582,0.07066666666666667,outputs/plan-003/run-002/wide_2+outputs/plan-003/run-004/core
-13.0,BC-SSB,96,1500,0.064,0.0526935459511578,0.07753391763684048,0.064,outputs/plan-003/run-002/wide_2+outputs/plan-003/run-004/core
-12.0,BC-SSB,81,1500,0.054,0.04365935933562644,0.06661919286677545,0.054,outputs/plan-003/run-002/wide_2+outputs/plan-003/run-004/core
-11.0,BC-SSB,74,1500,0.04933333333333333,0.039478762555287365,0.06149029766716955,0.04933333333333333,outputs/plan-003/run-001/estimated+outputs/plan-003/run-004/core
-10.5,BC-SSB,70,1500,0.04666666666666667,0.03710158016621855,0.05854777035341267,0.04666666666666667,outputs/plan-003/run-001/estimated+outputs/plan-004/run-001/tail-balance
-10.0,BC-SSB,64,1500,0.042666666666666665,0.03355366749284015,0.054116118472552516,0.042666666666666665,outputs/plan-003/run-001/estimated+outputs/plan-003/run-004/core
-9.5,BC-SSB,56,1500,0.037333333333333336,0.028861071509391156,0.04816929505035013,0.037333333333333336,outputs/plan-003/run-001/estimated+outputs/plan-004/run-001/tail-balance
-9.0,BC-SSB,49,1500,0.03266666666666666,0.02479710656901616,0.042923768010780135,0.03266666666666666,outputs/plan-003/run-001/estimated+outputs/plan-004/run-001/tail-balance
-8.5,BC-SSB,40,1500,0.02666666666666667,0.019643899897707002,0.036107627850731475,0.02666666666666667,outputs/plan-003/run-001/estimated+outputs/plan-004/run-001/tail-balance
-8.0,BC-SSB,109,5000,0.0218,0.018104377913406702,0.026229852226845936,0.0218,outputs/plan-004/run-001/tail-balance+outputs/plan-004/run-001/low-bler-refine
-7.5,BC-SSB,98,5000,0.0196,0.016110299881331586,0.023827308147479305,0.0196,outputs/plan-004/run-001/tail-balance+outputs/plan-004/run-001/low-bler-refine
-7.0,BC-SSB,90,5000,0.018,0.014667759588024541,0.02207230508701053,0.018,outputs/plan-004/run-001/tail-balance+outputs/plan-004/run-001/low-bler-refine
-6.5,BC-SSB,78,5000,0.0156,0.012518237134049051,0.01942551251032229,0.0156,outputs/plan-004/run-001/tail-balance+outputs/plan-004/run-001/low-bler-refine
-6.0,BC-SSB,72,5500,0.01309090909090909,0.010408698377934329,0.016452805523809975,0.01309090909090909,outputs/plan-003/run-002/wide_2+outputs/plan-004/run-001/tail-balance+outputs/plan-004/run-001/low-bler-refine
-18.0,CDD-SSB,117,1000,0.117,0.09852838761922869,0.13840290938070654,0.117,outputs/plan-003/run-004/threshold+outputs/plan-004/run-001/threshold-integer-fill
