snr_db,curve_a,curve_b,blocks,n00,n01,n10,n11
-10.5,BC-BEAM,CDD-BEAM,500,73,1,210,216
-10.5,BC-BEAM,CDD-IDEAL,500,73,1,211,215
-10.5,CDD-SSB,CDD-BEAM,500,270,11,13,206
-10.5,CDD-SSB,CDD-IDEAL,500,269,12,15,204
-10.5,CDD-BEAM,CDD-IDEAL,500,271,12,13,204
-9.5,B-SSB,P-SSB,500,122,89,84,205
-9.5,B-SSB,BC-SSB,500,124,87,104,185
-9.5,B-SSB,BC-BEAM,500,159,52,134,155
-9.5,B-SSB,CDD-SSB,500,200,11,241,48
-9.5,B-SSB,CDD-BEAM,500,198,13,248,41
-9.5,B-SSB,CDD-IDEAL,500,201,10,250,39
-9.5,P-SSB,BC-SSB,500,129,77,99,195
-9.5,P-SSB,BC-BEAM,500,159,47,134,160
-9.5,P-SSB,CDD-SSB,500,193,13,248,46
-9.5,P-SSB,CDD-BEAM,500,195,11,251,43
-9.5,P-SSB,CDD-IDEAL,500,195,11,256,38
-9.5,BC-SSB,BC-BEAM,500,222,6,71,201
-9.5,BC-SSB,CDD-SSB,500,225,3,216,56
-9.5,BC-SSB,CDD-BEAM,500,225,3,221,51
-9.5,BC-SSB,CDD-IDEAL,500,225,3,226,46
-9.5,BC-BEAM,CDD-SSB,500,290,3,151,56
-9.5,BC-BEAM,CDD-BEAM,500,290,3,156,51
-9.5,BC-BEAM,CDD-IDEAL,500,290,3,161,46
-9.5,CDD-SSB,CDD-BEAM,500,437,4,9,50
-9.5,CDD-SSB,CDD-IDEAL,500,436,5,15,44
-9.5,CDD-BEAM,CDD-IDEAL,500,441,5,10,44
-8.5,B-SSB,P-SSB,500,409,72,5,14
-8.5,B-SSB,BC-SSB,500,426,55,4,15
-8.5,B-SSB,BC-BEAM,500,441,40,5,14
-8.5,B-SSB,CDD-SSB,500,476,5,17,2
-8.5,B-SSB,CDD-BEAM,500,477,4,17,2
-8.5,B-SSB,CDD-IDEAL,500,477,4,17,2
-8.5,P-SSB,BC-SSB,500,375,39,55,31
-8.5,P-SSB,BC-BEAM,500,383,31,63,23
-8.5,P-SSB,CDD-SSB,500,409,5,84,2
-8.5,P-SSB,CDD-BEAM,500,409,5,85,1
-8.5,P-SSB,CDD-IDEAL,500,409,5,85,1
-8.5,BC-SSB,BC-BEAM,500,429,1,17,53
-8.5,BC-SSB,CDD-SSB,500,430,0,63,7
-8.5,BC-SSB,CDD-BEAM,500,430,0,64,6
-8.5,BC-SSB,CDD-IDEAL,500,430,0,64,6
-8.5,BC-BEAM,CDD-SSB,500,446,0,47,7
-8.5,BC-BEAM,CDD-BEAM,500,446,0,48,6
-8.5,BC-BEAM,CDD-IDEAL,500,446,0,48,6
-8.5,CDD-SSB,CDD-BEAM,500,492,1,2,5
-8.5,CDD-SSB,CDD-IDEAL,500,493,0,1,6
-8.5,CDD-BEAM,CDD-IDEAL,500,493,1,1,5
